Item Name,Rarity,"Keep, Sell, or Recycle",Recycle For,Keep For,Sell Price,,SOURCE,Updated: 03/03/2026,Compatible Patch Ver: 1.18.0,Link to Steam Discussion Board Post
Adrenaline Shot,Common,Keep,"1x Chemicals, 1x Plastic Parts",,300,,General Tip:,Support me on ko-fi! > https://ko-fi.com/ctcinna,,
Advanced Arc Powercell,Rare,Keep,2x ARC Powercell,Medical Lab: Surge Shield Recharger,640,,"For most items, if you have them in excess or your stash is almost full, then the ideal option would be to sell unless you need it for a certain quest.",,,
Advanced Electrical Components,Rare,Keep,"1x Electrical Components, 1x Wires","10x for Gear Bench III and Utility Station III Upgrades; 
5x Expedition Stage 4",1750,,,,,
Advanced Mechanical Components,Rare,Keep,"1x Mechanical Components, 1x Steel Spring",5x for Gunsmith III Upgrade,1750,,Scrappy Tip:,,,
Agave Juice,Common,Keep; or sell if short on space,,Quick Use for Healing,1800,,"If you are Topside for at least 1 minute, Scrappy will accumulate Metal Parts, Fabric, Plastic Parts, Chemicals, Rubber Parts, and Assorted Seeds ",,,
Alien Duck,Rare,Keep,,,,,based on time spent and whether you successfully extract. ,,,
Antiseptic,Rare,Keep,10x Chemical,Crafting Heals,1000,,He does not work while you are offline or hanging out in Speranza. ,,,
Apricot,Uncommon,Keep until upgrades are complete; sell once done,3x Assorted Seeds,17x for Scrappy Level III and V,640,,,,,
ARC Alloy,Uncommon,Keep,,"18x for Explosives, Medical Lab, and Utility Station Level I Upgrades; 
80x Expedition Stage 1",200,,"So, remember to use Scrappy for accumulating basic materials and seeds ",,,
ARC Circuitry,Rare,Keep,2x ARC Alloy,10x for Refiner III Upgrade,1000,,strategically which will allow you to bring in more expensive and rare items to Speranza.,,,
ARC Motion Core,Rare,Keep,2x ARC Alloy,5x for Refiner II Upgrades; Refiner: Magnetic Accelerator,1000,,,,,
ARC Performance Steel,Rare,Keep for Trophy Display; Recycle after,12x Metal Parts,10x for Trophy Display Stage 3,1000,,Inventory Management Tip (if you're running out of space):,,,
ARC Powercell,Common,Keep,,5x for Refiner I; Medical Lab: Shield Rechargers,640,,An important tip for maintaining space in your inventory is by not hoarding up on locked door keys and keeping ammo in your stash,,,
ARC Synthetic Resin,Rare,"Keep for Trophy Display; 
Recycle if short on materials; 
Sell otherwise",14x Plastic Parts,10x for Trophy Display Stage 4,1000,,"As soon as you get a key during a round, try to use it in your next round, because these keys do not stack unlike other items.",,,
Assorted Seeds,Common,Keep,,Can be used as currency w/ Celeste for supplies,$100 (Per seed),,"Additionally, try to craft bullets before you deploy so your stash has some free space which can remain occupied if you store too much ammo.",,,
Bastion Cell,Epic,Keep for upgrade and Trophy Display; sell once done,"2x ARC Alloy, 2x Advanced Mechanical Components","6x for Gear Bench III Upgrade;
5x for Trophy Display Stage 3",5000,,ARC Raiders Wiki loot table for extra reference in-case I don't update this in time,,,
